National Drug Code,brand_name,gen_nm
2477090,LIVALO,PITAVASTATIN CALCIUM
2477190,LIVALO,PITAVASTATIN CALCIUM
2477290,LIVALO,PITAVASTATIN CALCIUM
3519410,PRAVACHOL,PRAVASTATIN SODIUM
6074931,ZOCOR,SIMVASTATIN
6074954,ZOCOR,SIMVASTATIN
71015523,LIPITOR,ATORVASTATIN CALCIUM
71015534,LIPITOR,ATORVASTATIN CALCIUM
71015623,LIPITOR,ATORVASTATIN CALCIUM
71015694,LIPITOR,ATORVASTATIN CALCIUM
71015723,LIPITOR,ATORVASTATIN CALCIUM
71015773,LIPITOR,ATORVASTATIN CALCIUM
71015788,LIPITOR,ATORVASTATIN CALCIUM
71015823,LIPITOR,ATORVASTATIN CALCIUM
71015873,LIPITOR,ATORVASTATIN CALCIUM
71015888,LIPITOR,ATORVASTATIN CALCIUM
78017615,LESCOL,FLUVASTATIN SODIUM
78023405,LESCOL,FLUVASTATIN SODIUM
78023415,LESCOL,FLUVASTATIN SODIUM
78035405,LESCOL XL,FLUVASTATIN SODIUM
78035415,LESCOL XL,FLUVASTATIN SODIUM
93057606,LOVASTATIN,LOVASTATIN
93057693,LOVASTATIN,LOVASTATIN
93077110,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
93077198,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
93092610,LOVASTATIN,LOVASTATIN
93092806,LOVASTATIN,LOVASTATIN
93092810,LOVASTATIN,LOVASTATIN
93715256,SIMVASTATIN,SIMVASTATIN
93715298,SIMVASTATIN,SIMVASTATIN
93715310,SIMVASTATIN,SIMVASTATIN
93715356,SIMVASTATIN,SIMVASTATIN
93715398,SIMVASTATIN,SIMVASTATIN
93715410,SIMVASTATIN,SIMVASTATIN
93715456,SIMVASTATIN,SIMVASTATIN
93715498,SIMVASTATIN,SIMVASTATIN
93715510,SIMVASTATIN,SIMVASTATIN
93715556,SIMVASTATIN,SIMVASTATIN
93715598,SIMVASTATIN,SIMVASTATIN
93715610,SIMVASTATIN,SIMVASTATIN
93715656,SIMVASTATIN,SIMVASTATIN
93715698,SIMVASTATIN,SIMVASTATIN
93720110,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
93720198,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
93720210,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
93720298,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
93727010,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
93727098,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
93744201,FLUVASTATIN,FLUVASTATIN SODIUM
93744256,FLUVASTATIN,FLUVASTATIN SODIUM
93744301,FLUVASTATIN,FLUVASTATIN SODIUM
185007001,LOVASTATIN,LOVASTATIN
185007010,LOVASTATIN,LOVASTATIN
185007060,LOVASTATIN,LOVASTATIN
185007201,LOVASTATIN,LOVASTATIN
185007210,LOVASTATIN,LOVASTATIN
185007260,LOVASTATIN,LOVASTATIN
185007401,LOVASTATIN,LOVASTATIN
185007410,LOVASTATIN,LOVASTATIN
185007460,LOVASTATIN,LOVASTATIN
228263450,LOVASTATIN,LOVASTATIN
228263506,LOVASTATIN,LOVASTATIN
228263550,LOVASTATIN,LOVASTATIN
310075139,CRESTOR,ROSUVASTATIN CALCIUM
310075190,CRESTOR,ROSUVASTATIN CALCIUM
310075290,CRESTOR,ROSUVASTATIN CALCIUM
310075430,CRESTOR,ROSUVASTATIN CALCIUM
310075590,CRESTOR,ROSUVASTATIN CALCIUM
378201505,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378201577,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378201705,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378201777,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378212105,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378212177,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378212205,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378212277,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378395005,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378395077,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378395105,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378395177,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378395205,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378395277,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378395305,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378395377,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
378651091,LOVASTATIN,LOVASTATIN
378652005,LOVASTATIN,LOVASTATIN
378652091,LOVASTATIN,LOVASTATIN
378654005,LOVASTATIN,LOVASTATIN
378654091,LOVASTATIN,LOVASTATIN
378802077,FLUVASTATIN,FLUVASTATIN SODIUM
378802093,FLUVASTATIN,FLUVASTATIN SODIUM
378802193,FLUVASTATIN,FLUVASTATIN SODIUM
591377410,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
591377419,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
591377510,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
591377519,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
591377605,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
591377619,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
591377705,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
591377719,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
781523192,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
781523292,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
781523492,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
781538192,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
781538292,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
781538492,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
781538892,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
904580261,SIMVASTATIN,SIMVASTATIN
16252050750,SIMVASTATIN,SIMVASTATIN
16252052850,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
16252052890,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
16714068101,SIMVASTATIN,SIMVASTATIN
16714068102,SIMVASTATIN,SIMVASTATIN
16714068201,SIMVASTATIN,SIMVASTATIN
16714068202,SIMVASTATIN,SIMVASTATIN
16714068203,SIMVASTATIN,SIMVASTATIN
16714068301,SIMVASTATIN,SIMVASTATIN
16714068302,SIMVASTATIN,SIMVASTATIN
16714068303,SIMVASTATIN,SIMVASTATIN
16714068401,SIMVASTATIN,SIMVASTATIN
16714068402,SIMVASTATIN,SIMVASTATIN
16714068403,SIMVASTATIN,SIMVASTATIN
16714068501,SIMVASTATIN,SIMVASTATIN
16714068502,SIMVASTATIN,SIMVASTATIN
16714068503,SIMVASTATIN,SIMVASTATIN
16729000415,SIMVASTATIN,SIMVASTATIN
16729000417,SIMVASTATIN,SIMVASTATIN
16729000510,SIMVASTATIN,SIMVASTATIN
16729000515,SIMVASTATIN,SIMVASTATIN
16729000517,SIMVASTATIN,SIMVASTATIN
16729000610,SIMVASTATIN,SIMVASTATIN
16729000615,SIMVASTATIN,SIMVASTATIN
16729000617,SIMVASTATIN,SIMVASTATIN
16729000710,SIMVASTATIN,SIMVASTATIN
16729000715,SIMVASTATIN,SIMVASTATIN
16729000717,SIMVASTATIN,SIMVASTATIN
24658021110,SIMVASTATIN,SIMVASTATIN
24658021190,SIMVASTATIN,SIMVASTATIN
24658021210,SIMVASTATIN,SIMVASTATIN
24658021290,SIMVASTATIN,SIMVASTATIN
24658021310,SIMVASTATIN,SIMVASTATIN
24658021345,SIMVASTATIN,SIMVASTATIN
24658021445,SIMVASTATIN,SIMVASTATIN
24658030110,SIMVASTATIN,SIMVASTATIN
24658030210,SIMVASTATIN,SIMVASTATIN
24658030230,SIMVASTATIN,SIMVASTATIN
24658030290,SIMVASTATIN,SIMVASTATIN
24658030310,SIMVASTATIN,SIMVASTATIN
24658030315,SIMVASTATIN,SIMVASTATIN
24658030330,SIMVASTATIN,SIMVASTATIN
24658030345,SIMVASTATIN,SIMVASTATIN
24658030390,SIMVASTATIN,SIMVASTATIN
24658030410,SIMVASTATIN,SIMVASTATIN
24658030445,SIMVASTATIN,SIMVASTATIN
42571002090,SIMVASTATIN,SIMVASTATIN
43353003145,CRESTOR,ROSUVASTATIN CALCIUM
43353003182,CRESTOR,ROSUVASTATIN CALCIUM
43353077415,SIMVASTATIN,SIMVASTATIN
43353086145,SIMVASTATIN,SIMVASTATIN
45963063301,LOVASTATIN,LOVASTATIN
45963063401,LOVASTATIN,LOVASTATIN
45963063404,LOVASTATIN,LOVASTATIN
45963063501,LOVASTATIN,LOVASTATIN
45963063504,LOVASTATIN,LOVASTATIN
50742013710,SIMVASTATIN,SIMVASTATIN
51079041120,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
51079097420,LOVASTATIN,LOVASTATIN
52343002399,SIMVASTATIN,SIMVASTATIN
52343002445,SIMVASTATIN,SIMVASTATIN
52343002499,SIMVASTATIN,SIMVASTATIN
52343002545,SIMVASTATIN,SIMVASTATIN
54458089410,SIMVASTATIN,SIMVASTATIN
54458089910,SIMVASTATIN,SIMVASTATIN
54458090010,SIMVASTATIN,SIMVASTATIN
54458090802,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
54458091410,LOVASTATIN,LOVASTATIN
54458091510,LOVASTATIN,LOVASTATIN
54458092510,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
54458092610,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
54458092710,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
54458092804,SIMVASTATIN,SIMVASTATIN
54458093210,SIMVASTATIN,SIMVASTATIN
54458093310,SIMVASTATIN,SIMVASTATIN
54458093410,SIMVASTATIN,SIMVASTATIN
54458093610,LOVASTATIN,LOVASTATIN
54458093710,LOVASTATIN,LOVASTATIN
54458093810,LOVASTATIN,LOVASTATIN
54458098210,LOVASTATIN,LOVASTATIN
54458098310,LOVASTATIN,LOVASTATIN
54458098610,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
54458098709,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
54569611301,SIMVASTATIN,SIMVASTATIN
55111012105,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
55111012190,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
55111012205,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
55111012290,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
55111012305,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
55111012390,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
55111012405,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
55111012490,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
55111019730,SIMVASTATIN,SIMVASTATIN
55111019790,SIMVASTATIN,SIMVASTATIN
55111019805,SIMVASTATIN,SIMVASTATIN
55111019830,SIMVASTATIN,SIMVASTATIN
55111019890,SIMVASTATIN,SIMVASTATIN
55111019905,SIMVASTATIN,SIMVASTATIN
55111019910,SIMVASTATIN,SIMVASTATIN
55111019990,SIMVASTATIN,SIMVASTATIN
55111020005,SIMVASTATIN,SIMVASTATIN
55111020010,SIMVASTATIN,SIMVASTATIN
55111020030,SIMVASTATIN,SIMVASTATIN
55111020090,SIMVASTATIN,SIMVASTATIN
55111022905,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111022990,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111023005,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111023090,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111023105,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111023190,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111026805,SIMVASTATIN,SIMVASTATIN
55111026830,SIMVASTATIN,SIMVASTATIN
55111026890,SIMVASTATIN,SIMVASTATIN
55111027405,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111027490,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
59630062930,ALTOPREV,LOVASTATIN
59762015501,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015502,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015601,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015602,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015701,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015702,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015801,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015802,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60429036990,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505016809,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505016907,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505016909,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505017007,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505017009,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505017900,LOVASTATIN,LOVASTATIN
60505132305,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505132309,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505257808,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505257809,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505257908,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505257909,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505258008,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505258009,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505267108,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505267109,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
61442014101,LOVASTATIN,LOVASTATIN
61442014110,LOVASTATIN,LOVASTATIN
61442014160,LOVASTATIN,LOVASTATIN
61442014201,LOVASTATIN,LOVASTATIN
61442014210,LOVASTATIN,LOVASTATIN
61442014260,LOVASTATIN,LOVASTATIN
61442014301,LOVASTATIN,LOVASTATIN
61442014310,LOVASTATIN,LOVASTATIN
61442014360,LOVASTATIN,LOVASTATIN
62175089043,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089046,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089143,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089146,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089241,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089246,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304059790,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
63304059890,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
63304079110,SIMVASTATIN,SIMVASTATIN
63304079210,SIMVASTATIN,SIMVASTATIN
63304079290,SIMVASTATIN,SIMVASTATIN
63304082705,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082790,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082805,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082890,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082905,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082990,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304083005,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304083090,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
65862005030,SIMVASTATIN,SIMVASTATIN
65862005090,SIMVASTATIN,SIMVASTATIN
65862005126,SIMVASTATIN,SIMVASTATIN
65862005130,SIMVASTATIN,SIMVASTATIN
65862005190,SIMVASTATIN,SIMVASTATIN
65862005199,SIMVASTATIN,SIMVASTATIN
65862005226,SIMVASTATIN,SIMVASTATIN
65862005230,SIMVASTATIN,SIMVASTATIN
65862005290,SIMVASTATIN,SIMVASTATIN
65862005299,SIMVASTATIN,SIMVASTATIN
65862005322,SIMVASTATIN,SIMVASTATIN
65862005330,SIMVASTATIN,SIMVASTATIN
65862005390,SIMVASTATIN,SIMVASTATIN
65862005399,SIMVASTATIN,SIMVASTATIN
65862005439,SIMVASTATIN,SIMVASTATIN
65862005490,SIMVASTATIN,SIMVASTATIN
65862005499,SIMVASTATIN,SIMVASTATIN
66869010490,LIVALO,PITAVASTATIN CALCIUM
66869020490,LIVALO,PITAVASTATIN CALCIUM
66869040490,LIVALO,PITAVASTATIN CALCIUM
68001022400,LOVASTATIN,LOVASTATIN
68084058901,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68180046701,LOVASTATIN,LOVASTATIN
68180046703,LOVASTATIN,LOVASTATIN
68180046707,LOVASTATIN,LOVASTATIN
68180046801,LOVASTATIN,LOVASTATIN
68180046803,LOVASTATIN,LOVASTATIN
68180046805,LOVASTATIN,LOVASTATIN
68180046807,LOVASTATIN,LOVASTATIN
68180046901,LOVASTATIN,LOVASTATIN
68180046903,LOVASTATIN,LOVASTATIN
68180046905,LOVASTATIN,LOVASTATIN
68180046907,LOVASTATIN,LOVASTATIN
68180047801,SIMVASTATIN,SIMVASTATIN
68180047802,SIMVASTATIN,SIMVASTATIN
68180047803,SIMVASTATIN,SIMVASTATIN
68180047901,SIMVASTATIN,SIMVASTATIN
68180047902,SIMVASTATIN,SIMVASTATIN
68180047903,SIMVASTATIN,SIMVASTATIN
68180048001,SIMVASTATIN,SIMVASTATIN
68180048002,SIMVASTATIN,SIMVASTATIN
68180048003,SIMVASTATIN,SIMVASTATIN
68180048101,SIMVASTATIN,SIMVASTATIN
68180048102,SIMVASTATIN,SIMVASTATIN
68180048103,SIMVASTATIN,SIMVASTATIN
68180048209,SIMVASTATIN,SIMVASTATIN
68180048502,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048509,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048602,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048609,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048702,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048709,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048802,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048809,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382006516,SIMVASTATIN,SIMVASTATIN
68382006605,SIMVASTATIN,SIMVASTATIN
68382006610,SIMVASTATIN,SIMVASTATIN
68382006616,SIMVASTATIN,SIMVASTATIN
68382006624,SIMVASTATIN,SIMVASTATIN
68382006705,SIMVASTATIN,SIMVASTATIN
68382006710,SIMVASTATIN,SIMVASTATIN
68382006716,SIMVASTATIN,SIMVASTATIN
68382006805,SIMVASTATIN,SIMVASTATIN
68382006810,SIMVASTATIN,SIMVASTATIN
68382006816,SIMVASTATIN,SIMVASTATIN
68382006905,SIMVASTATIN,SIMVASTATIN
68382006910,SIMVASTATIN,SIMVASTATIN
68382006916,SIMVASTATIN,SIMVASTATIN
68382007005,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007016,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007105,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007116,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007205,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007216,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007305,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007316,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019505,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019590,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019605,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019690,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019705,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019790,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019805,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019890,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68645026154,SIMVASTATIN,SIMVASTATIN
68645026254,SIMVASTATIN,SIMVASTATIN
68645026354,SIMVASTATIN,SIMVASTATIN
68645040270,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645040370,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645041754,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645041854,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645045870,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645045970,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645046054,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645046154,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645047054,SIMVASTATIN,SIMVASTATIN
68645047154,SIMVASTATIN,SIMVASTATIN
68645047254,SIMVASTATIN,SIMVASTATIN
68645048070,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645048170,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645048254,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645048354,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68382009205,CARVEDILOL,
68382009301,CARVEDILOL,
68382009305,CARVEDILOL,
68382009401,CARVEDILOL,
68382009405,CARVEDILOL,
68382009501,CARVEDILOL,
68382009505,CARVEDILOL,
68462016201,CARVEDILOL,
68462016205,CARVEDILOL,
68462016301,CARVEDILOL,
68462016305,CARVEDILOL,
68462016401,CARVEDILOL,
68462016405,CARVEDILOL,
68462016501,CARVEDILOL,
68462016505,CARVEDILOL,
68645019059,METOPROLOL TARTRATE,
68645019159,METOPROLOL TARTRATE,
68645035059,CARVEDILOL,
68645035159,CARVEDILOL,
68645035259,CARVEDILOL,
68645046859,CARVEDILOL,
68645047954,METOPROLOL SUCCINATE,